timestamp,competitor,post_content,likes,shares,comments
2025-04-01,BrandA,Launching our new product! #innovation,120,30,12
2025-04-02,BrandA,Behind the scenes! #bts,80,20,8
2025-04-03,BrandA,Customer love! #testimonial,150,40,20
2025-04-04,BrandA,Big sale coming! #discount,200,60,25
2025-04-05,BrandA,New blog post is live! #blog,90,15,6
2025-04-06,BrandA,Check our new app feature! #update,130,25,15
2025-04-07,BrandA,Weekend vibes #relax,70,10,4
2025-04-08,BrandA,We value your feedback #engage,60,5,3
2025-04-09,BrandA,Throwback to our first launch #tbt,100,20,10
2025-04-10,BrandA,Guess the new feature! #fun,110,25,11
2025-04-01,BrandB,New arrival alert! #new,180,50,22
2025-04-02,BrandB,Team outing memories #fun,90,15,7
2025-04-03,BrandB,Customer review #thankyou,160,35,18
2025-04-04,BrandB,Flash sale ends today! #hurry,220,70,30
2025-04-05,BrandB,New insights on our blog #read,140,30,14
2025-04-06,BrandB,App updated #tech,170,40,17
2025-04-07,BrandB,Happy weekend! #weekend,100,20,9
2025-04-08,BrandB,Help us improve #survey,90,15,8
2025-04-09,BrandB,Journey so far #milestone,150,45,21
2025-04-10,BrandB,What's coming next? #sneakpeek,200,60,26
